Accuracy,precision,recall,f1,iteration,dset_size
80.76,0.7834043626164325,0.8076,0.7815097037723575,45.0,0.2
80.76,0.7834043626164325,0.8076,0.7815097037723575,15.0,0.2
80.76,0.7834043626164325,0.8076,0.7815097037723575,40.0,0.2
80.76,0.7834043626164325,0.8076,0.7815097037723575,25.0,0.2
80.76,0.7834043626164325,0.8076,0.7815097037723575,10.0,0.2
80.76,0.7834043626164325,0.8076,0.7815097037723575,50.0,0.2
80.76,0.7834043626164325,0.8076,0.7815097037723575,35.0,0.2
80.76,0.7834043626164325,0.8076,0.7815097037723575,5.0,0.2
80.76,0.7834043626164325,0.8076,0.7815097037723575,30.0,0.2
80.76,0.7834043626164325,0.8076,0.7815097037723575,30.0,0.2
80.76,0.7834043626164325,0.8076,0.7815097037723575,48.0,0.2
80.76,0.7834043626164325,0.8076,0.7815097037723575,12.0,0.2
80.76,0.7834043626164325,0.8076,0.7815097037723575,42.0,0.2
80.76,0.7834043626164325,0.8076,0.7815097037723575,60.0,0.2
80.76,0.7834043626164325,0.8076,0.7815097037723575,36.0,0.2
80.76,0.7834043626164325,0.8076,0.7815097037723575,6.0,0.2
80.76,0.7834043626164325,0.8076,0.7815097037723575,54.0,0.2
80.76,0.7834043626164325,0.8076,0.7815097037723575,18.0,0.2
80.76,0.7834043626164325,0.8076,0.7815097037723575,24.0,0.2
80.76,0.7834043626164325,0.8076,0.7815097037723575,21.0,0.2
80.76,0.7834043626164325,0.8076,0.7815097037723575,70.0,0.2
80.76,0.7834043626164325,0.8076,0.7815097037723575,56.0,0.2
80.76,0.7834043626164325,0.8076,0.7815097037723575,7.0,0.2
80.76,0.7834043626164325,0.8076,0.7815097037723575,42.0,0.2
80.76,0.7834043626164325,0.8076,0.7815097037723575,28.0,0.2
80.76,0.7834043626164325,0.8076,0.7815097037723575,35.0,0.2
80.76,0.7834043626164325,0.8076,0.7815097037723575,63.0,0.2
80.76,0.7834043626164325,0.8076,0.7815097037723575,49.0,0.2
80.76,0.7834043626164325,0.8076,0.7815097037723575,14.0,0.2
80.76,0.7834043626164325,0.8076,0.7815097037723575,24.0,0.2
80.76,0.7834043626164325,0.8076,0.7815097037723575,64.0,0.2
80.76,0.7834043626164325,0.8076,0.7815097037723575,80.0,0.2
80.76,0.7834043626164325,0.8076,0.7815097037723575,40.0,0.2
80.76,0.7834043626164325,0.8076,0.7815097037723575,72.0,0.2
80.76,0.7834043626164325,0.8076,0.7815097037723575,16.0,0.2
80.76,0.7834043626164325,0.8076,0.7815097037723575,8.0,0.2
80.76,0.7834043626164325,0.8076,0.7815097037723575,56.0,0.2
80.76,0.7834043626164325,0.8076,0.7815097037723575,32.0,0.2
80.76,0.7834043626164325,0.8076,0.7815097037723575,48.0,0.2
80.76,0.7834043626164325,0.8076,0.7815097037723575,18.0,0.2
80.76,0.7834043626164325,0.8076,0.7815097037723575,45.0,0.2
80.76,0.7834043626164325,0.8076,0.7815097037723575,72.0,0.2
