model_name,iteration,class_label,accuracy,step,batch_size
lenet5_batchNorm1,10,7,0.5377358490566038,3,128
lenet5_batchNorm1,10,9,0.26506024096385544,3,128
lenet5_batchNorm1,10,8,0.6282051282051282,3,128
lenet5_batchNorm1,10,4,0.9166666666666666,3,128
lenet5_batchNorm1,10,6,0.29347826086956524,3,128
lenet5_batchNorm1,12,3,0.937007874015748,3,128
lenet5_batchNorm1,12,6,0.2826086956521739,3,128
lenet5_batchNorm1,12,1,0.7138364779874213,3,128
lenet5_batchNorm1,12,5,0.9017857142857143,3,128
lenet5_batchNorm1,12,4,0.9166666666666666,3,128
lenet5_batchNorm1,12,0,0.8977272727272727,3,128
lenet5_batchNorm1,12,7,0.5566037735849056,3,128
lenet5_batchNorm1,12,2,0.8414634146341463,3,128
lenet5_batchNorm1,12,9,0.25301204819277107,3,128
lenet5_batchNorm1,12,8,0.6153846153846154,3,128
lenet5_batchNorm1,17,3,0.9291338582677166,3,128
lenet5_batchNorm1,17,8,0.6025641025641025,3,128
lenet5_batchNorm1,17,2,0.8353658536585366,3,128
lenet5_batchNorm1,17,9,0.24096385542168675,3,128
lenet5_batchNorm1,17,1,0.710691823899371,3,128
lenet5_batchNorm1,17,0,0.8977272727272727,3,128
lenet5_batchNorm1,17,4,0.9083333333333333,3,128
lenet5_batchNorm1,17,5,0.9107142857142857,3,128
lenet5_batchNorm1,17,7,0.5660377358490566,3,128
lenet5_batchNorm1,17,6,0.29347826086956524,3,128
lenet5_batchNorm1,2,7,0.5471698113207547,3,128
lenet5_batchNorm1,2,4,0.9166666666666666,3,128
lenet5_batchNorm1,2,5,0.9107142857142857,3,128
lenet5_batchNorm1,2,3,0.9291338582677166,3,128
lenet5_batchNorm1,2,1,0.720125786163522,3,128
lenet5_batchNorm1,2,2,0.8353658536585366,3,128
lenet5_batchNorm1,2,0,0.8977272727272727,3,128
lenet5_batchNorm1,2,8,0.6282051282051282,3,128
lenet5_batchNorm1,2,6,0.29347826086956524,3,128
lenet5_batchNorm1,2,9,0.24096385542168675,3,128
lenet5_batchNorm1,15,4,0.9083333333333333,3,128
lenet5_batchNorm1,15,2,0.8353658536585366,3,128
lenet5_batchNorm1,15,0,0.8863636363636364,3,128
lenet5_batchNorm1,15,1,0.7169811320754716,3,128
lenet5_batchNorm1,15,5,0.8928571428571429,3,128
lenet5_batchNorm1,15,3,0.9291338582677166,3,128
lenet5_batchNorm1,15,8,0.6025641025641025,3,128
lenet5_batchNorm1,15,7,0.5471698113207547,3,128
lenet5_batchNorm1,15,6,0.29347826086956524,3,128
lenet5_batchNorm1,15,9,0.24096385542168675,3,128
lenet5_batchNorm1,4,2,0.8353658536585366,3,128
