Class,Accuracy,iteration,dset_size
2,0.9883720930232558,12.0,0.1
3,0.994059405940594,12.0,0.1
4,0.9714867617107943,12.0,0.1
5,0.9652466367713004,12.0,0.1
6,0.9791231732776617,12.0,0.1
7,0.9727626459143969,12.0,0.1
8,0.9784394250513347,12.0,0.1
9,0.9871159563924677,12.0,0.1
0,0.9979591836734694,30.0,0.1
1,0.9823788546255506,30.0,0.1
2,0.9883720930232558,30.0,0.1
3,0.994059405940594,30.0,0.1
4,0.9714867617107943,30.0,0.1
5,0.9652466367713004,30.0,0.1
6,0.9791231732776617,30.0,0.1
7,0.9727626459143969,30.0,0.1
8,0.9784394250513347,30.0,0.1
9,0.9871159563924677,30.0,0.1
0,0.9979591836734694,15.0,0.1
1,0.9823788546255506,15.0,0.1
2,0.9883720930232558,15.0,0.1
3,0.994059405940594,15.0,0.1
4,0.9714867617107943,15.0,0.1
5,0.9652466367713004,15.0,0.1
6,0.9791231732776617,15.0,0.1
7,0.9727626459143969,15.0,0.1
8,0.9784394250513347,15.0,0.1
9,0.9871159563924677,15.0,0.1
0,0.9979591836734694,27.0,0.1
1,0.9823788546255506,27.0,0.1
2,0.9883720930232558,27.0,0.1
3,0.994059405940594,27.0,0.1
4,0.9714867617107943,27.0,0.1
5,0.9652466367713004,27.0,0.1
6,0.9791231732776617,27.0,0.1
7,0.9727626459143969,27.0,0.1
8,0.9784394250513347,27.0,0.1
9,0.9871159563924677,27.0,0.1
