model_name,iteration,class_label,accuracy
LeNet5_base,15,7,0.42452830188679247
LeNet5_base,3,9,0.25301204819277107
LeNet5_base,3,6,0.2826086956521739
LeNet5_base,15,8,0.6153846153846154
LeNet5_base,15,0,0.7386363636363636
LeNet5_base,15,6,0.2826086956521739
LeNet5_base,15,9,0.25301204819277107
LeNet5_base,4,5,0.7767857142857143
LeNet5_base,4,2,0.6463414634146342
LeNet5_base,4,8,0.6153846153846154
LeNet5_base,4,7,0.42452830188679247
LeNet5_base,4,4,0.8833333333333333
LeNet5_base,4,0,0.7386363636363636
LeNet5_base,4,3,0.7716535433070866
LeNet5_base,4,1,0.6069182389937107
LeNet5_base,4,9,0.25301204819277107
LeNet5_base,4,6,0.2826086956521739
LeNet5_base,20,4,0.8833333333333333
LeNet5_base,20,0,0.7386363636363636
LeNet5_base,20,8,0.6153846153846154
LeNet5_base,20,5,0.7767857142857143
LeNet5_base,20,3,0.7716535433070866
LeNet5_base,20,6,0.2826086956521739
LeNet5_base,20,1,0.6069182389937107
LeNet5_base,20,2,0.6463414634146342
LeNet5_base,20,7,0.42452830188679247
LeNet5_base,20,9,0.25301204819277107
LeNet5_base,10,1,0.6069182389937107
LeNet5_base,17,5,0.7767857142857143
LeNet5_base,10,2,0.6463414634146342
LeNet5_base,10,9,0.25301204819277107
LeNet5_base,17,0,0.7386363636363636
LeNet5_base,10,4,0.8833333333333333
LeNet5_base,17,4,0.8833333333333333
LeNet5_base,10,8,0.6153846153846154
LeNet5_base,17,1,0.6069182389937107
LeNet5_base,10,5,0.7767857142857143
LeNet5_base,17,2,0.6463414634146342
LeNet5_base,10,0,0.7386363636363636
LeNet5_base,17,7,0.42452830188679247
LeNet5_base,10,3,0.7716535433070866
LeNet5_base,17,3,0.7716535433070866
LeNet5_base,10,7,0.42452830188679247
LeNet5_base,17,9,0.25301204819277107
LeNet5_base,11,3,0.7716535433070866
LeNet5_base,17,6,0.2826086956521739
LeNet5_base,10,6,0.2826086956521739
LeNet5_base,11,8,0.6153846153846154
LeNet5_base,17,8,0.6153846153846154
LeNet5_base,11,0,0.7386363636363636
LeNet5_base,11,2,0.6463414634146342
LeNet5_base,11,4,0.8833333333333333
LeNet5_base,11,7,0.42452830188679247
LeNet5_base,11,1,0.6069182389937107
LeNet5_base,11,6,0.2826086956521739
LeNet5_base,11,5,0.7767857142857143
LeNet5_base,11,9,0.25301204819277107
LeNet5_base,16,1,0.6069182389937107
LeNet5_base,16,2,0.6463414634146342
LeNet5_base,16,8,0.6153846153846154
LeNet5_base,16,7,0.42452830188679247
LeNet5_base,16,3,0.7716535433070866
LeNet5_base,16,4,0.8833333333333333
LeNet5_base,16,9,0.25301204819277107
LeNet5_base,16,5,0.7767857142857143
LeNet5_base,16,6,0.2826086956521739
LeNet5_base,16,0,0.7386363636363636
LeNet5_base,31,3,0.7716535433070866
LeNet5_base,31,1,0.6069182389937107
LeNet5_base,31,6,0.2826086956521739
LeNet5_base,31,4,0.8833333333333333
LeNet5_base,31,2,0.6463414634146342
LeNet5_base,31,5,0.7767857142857143
LeNet5_base,31,7,0.42452830188679247
LeNet5_base,31,8,0.6153846153846154
LeNet5_base,31,0,0.7386363636363636
LeNet5_base,31,9,0.25301204819277107
LeNet5_base,30,1,0.6069182389937107
LeNet5_base,30,4,0.8833333333333333
LeNet5_base,30,3,0.7716535433070866
LeNet5_base,30,2,0.6463414634146342
LeNet5_base,30,6,0.2826086956521739
LeNet5_base,30,8,0.6153846153846154
LeNet5_base,30,0,0.7386363636363636
LeNet5_base,30,5,0.7767857142857143
LeNet5_base,30,9,0.25301204819277107
LeNet5_base,30,7,0.42452830188679247
LeNet5_base,23,4,0.8833333333333333
LeNet5_base,23,1,0.6069182389937107
LeNet5_base,23,0,0.7386363636363636
LeNet5_base,23,2,0.6463414634146342
LeNet5_base,23,7,0.42452830188679247
