Class,Accuracy,iteration
5,0.03571428571428571,13.0
6,0.010869565217391304,13.0
7,0.018867924528301886,13.0
8,0.0,13.0
9,0.0,13.0
0,0.022727272727272728,17.0
1,1.0,17.0
2,0.012195121951219513,17.0
3,0.0,17.0
4,0.06666666666666667,17.0
0,0.022727272727272728,1.0
5,0.03571428571428571,17.0
1,1.0,1.0
6,0.010869565217391304,17.0
7,0.018867924528301886,17.0
2,0.012195121951219513,1.0
8,0.0,17.0
3,0.0,1.0
9,0.0,17.0
4,0.06666666666666667,1.0
5,0.03571428571428571,1.0
6,0.010869565217391304,1.0
7,0.018867924528301886,1.0
8,0.0,1.0
9,0.0,1.0
0,0.022727272727272728,11.0
1,1.0,11.0
2,0.012195121951219513,11.0
3,0.0,11.0
4,0.06666666666666667,11.0
5,0.03571428571428571,11.0
6,0.010869565217391304,11.0
7,0.018867924528301886,11.0
8,0.0,11.0
9,0.0,11.0
0,0.022727272727272728,16.0
1,1.0,16.0
2,0.012195121951219513,16.0
3,0.0,16.0
4,0.06666666666666667,16.0
5,0.03571428571428571,16.0
6,0.010869565217391304,16.0
7,0.018867924528301886,16.0
8,0.0,16.0
9,0.0,16.0
0,0.022727272727272728,3.0
1,1.0,3.0
2,0.012195121951219513,3.0
3,0.0,3.0
4,0.06666666666666667,3.0
5,0.03571428571428571,3.0
6,0.010869565217391304,3.0
7,0.018867924528301886,3.0
8,0.0,3.0
9,0.0,3.0
0,0.022727272727272728,6.0
1,1.0,6.0
2,0.012195121951219513,6.0
3,0.0,6.0
4,0.06666666666666667,6.0
5,0.03571428571428571,6.0
6,0.010869565217391304,6.0
7,0.018867924528301886,6.0
8,0.0,6.0
9,0.0,6.0
0,0.022727272727272728,28.0
1,1.0,28.0
2,0.012195121951219513,28.0
3,0.0,28.0
4,0.06666666666666667,28.0
5,0.03571428571428571,28.0
6,0.010869565217391304,28.0
7,0.018867924528301886,28.0
8,0.0,28.0
9,0.0,28.0
0,0.022727272727272728,35.0
1,1.0,35.0
2,0.012195121951219513,35.0
3,0.0,35.0
4,0.06666666666666667,35.0
5,0.03571428571428571,35.0
6,0.010869565217391304,35.0
7,0.018867924528301886,35.0
8,0.0,35.0
9,0.0,35.0
0,0.022727272727272728,25.0
1,1.0,25.0
2,0.012195121951219513,25.0
3,0.0,25.0
4,0.06666666666666667,25.0
5,0.03571428571428571,25.0
6,0.010869565217391304,25.0
7,0.018867924528301886,25.0
8,0.0,25.0
9,0.0,25.0
0,0.022727272727272728,30.0
1,1.0,30.0
2,0.012195121951219513,30.0
3,0.0,30.0
4,0.06666666666666667,30.0
5,0.03571428571428571,30.0
6,0.010869565217391304,30.0
7,0.018867924528301886,30.0
8,0.0,30.0
9,0.0,30.0
0,0.022727272727272728,32.0
1,1.0,32.0
2,0.012195121951219513,32.0
3,0.0,32.0
4,0.06666666666666667,32.0
5,0.03571428571428571,32.0
6,0.010869565217391304,32.0
