Class,Accuracy,iteration
4,0.9928716904276986,21.0
5,0.9910313901345291,21.0
6,0.9906054279749478,21.0
7,0.9892996108949417,21.0
8,0.9897330595482546,21.0
9,0.9861248761149654,21.0
0,0.996938775510204,29.0
1,0.9973568281938326,29.0
2,0.9922480620155039,29.0
3,0.9920792079207921,29.0
4,0.9928716904276986,29.0
5,0.9910313901345291,29.0
6,0.9906054279749478,29.0
7,0.9892996108949417,29.0
8,0.9897330595482546,29.0
9,0.9861248761149654,29.0
0,0.996938775510204,39.0
1,0.9973568281938326,39.0
2,0.9922480620155039,39.0
3,0.9920792079207921,39.0
4,0.9928716904276986,39.0
5,0.9910313901345291,39.0
6,0.9906054279749478,39.0
7,0.9892996108949417,39.0
8,0.9897330595482546,39.0
9,0.9861248761149654,39.0
0,0.996938775510204,35.0
1,0.9973568281938326,35.0
2,0.9922480620155039,35.0
3,0.9920792079207921,35.0
4,0.9928716904276986,35.0
5,0.9910313901345291,35.0
6,0.9906054279749478,35.0
7,0.9892996108949417,35.0
8,0.9897330595482546,35.0
9,0.9861248761149654,35.0
0,0.996938775510204,23.0
1,0.9973568281938326,23.0
2,0.9922480620155039,23.0
3,0.9920792079207921,23.0
4,0.9928716904276986,23.0
5,0.9910313901345291,23.0
6,0.9906054279749478,23.0
7,0.9892996108949417,23.0
8,0.9897330595482546,23.0
9,0.9861248761149654,23.0
0,0.996938775510204,32.0
1,0.9973568281938326,32.0
2,0.9922480620155039,32.0
3,0.9920792079207921,32.0
4,0.9928716904276986,32.0
5,0.9910313901345291,32.0
6,0.9906054279749478,32.0
7,0.9892996108949417,32.0
8,0.9897330595482546,32.0
9,0.9861248761149654,32.0
0,0.996938775510204,33.0
1,0.9973568281938326,33.0
2,0.9922480620155039,33.0
3,0.9920792079207921,33.0
4,0.9928716904276986,33.0
5,0.9910313901345291,33.0
6,0.9906054279749478,33.0
7,0.9892996108949417,33.0
8,0.9897330595482546,33.0
9,0.9861248761149654,33.0
0,0.996938775510204,37.0
1,0.9973568281938326,37.0
2,0.9922480620155039,37.0
3,0.9920792079207921,37.0
4,0.9928716904276986,37.0
5,0.9910313901345291,37.0
6,0.9906054279749478,37.0
7,0.9892996108949417,37.0
8,0.9897330595482546,37.0
9,0.9861248761149654,37.0
0,0.996938775510204,28.0
1,0.9973568281938326,28.0
2,0.9922480620155039,28.0
3,0.9920792079207921,28.0
4,0.9928716904276986,28.0
5,0.9910313901345291,28.0
6,0.9906054279749478,28.0
7,0.9892996108949417,28.0
8,0.9897330595482546,28.0
9,0.9861248761149654,28.0
0,0.996938775510204,31.0
1,0.9973568281938326,31.0
0,0.996938775510204,36.0
1,0.9973568281938326,36.0
2,0.9922480620155039,31.0
3,0.9920792079207921,31.0
4,0.9928716904276986,31.0
5,0.9910313901345291,31.0
2,0.9922480620155039,36.0
3,0.9920792079207921,36.0
4,0.9928716904276986,36.0
5,0.9910313901345291,36.0
6,0.9906054279749478,36.0
7,0.9892996108949417,36.0
8,0.9897330595482546,36.0
9,0.9861248761149654,36.0
6,0.9906054279749478,31.0
7,0.9892996108949417,31.0
8,0.9897330595482546,31.0
9,0.9861248761149654,31.0
0,0.996938775510204,38.0
1,0.9973568281938326,38.0
2,0.9922480620155039,38.0
3,0.9920792079207921,38.0
4,0.9928716904276986,38.0
5,0.9910313901345291,38.0
6,0.9906054279749478,38.0
7,0.9892996108949417,38.0
8,0.9897330595482546,38.0
9,0.9861248761149654,38.0
0,0.996938775510204,27.0
1,0.9973568281938326,27.0
2,0.9922480620155039,27.0
3,0.9920792079207921,27.0
4,0.9928716904276986,27.0
5,0.9910313901345291,27.0
6,0.9906054279749478,27.0
7,0.9892996108949417,27.0
8,0.9897330595482546,27.0
9,0.9861248761149654,27.0
0,0.996938775510204,22.0
1,0.9973568281938326,22.0
2,0.9922480620155039,22.0
3,0.9920792079207921,22.0
4,0.9928716904276986,22.0
5,0.9910313901345291,22.0
6,0.9906054279749478,22.0
7,0.9892996108949417,22.0
8,0.9897330595482546,22.0
9,0.9861248761149654,22.0
0,0.996938775510204,24.0
1,0.9973568281938326,24.0
2,0.9922480620155039,24.0
3,0.9920792079207921,24.0
4,0.9928716904276986,24.0
5,0.9910313901345291,24.0
6,0.9906054279749478,24.0
7,0.9892996108949417,24.0
8,0.9897330595482546,24.0
9,0.9861248761149654,24.0
0,0.996938775510204,40.0
1,0.9973568281938326,40.0
2,0.9922480620155039,40.0
3,0.9920792079207921,40.0
4,0.9928716904276986,40.0
5,0.9910313901345291,40.0
6,0.9906054279749478,40.0
7,0.9892996108949417,40.0
8,0.9897330595482546,40.0
9,0.9861248761149654,40.0
0,0.996938775510204,25.0
1,0.9973568281938326,25.0
2,0.9922480620155039,25.0
3,0.9920792079207921,25.0
4,0.9928716904276986,25.0
5,0.9910313901345291,25.0
6,0.9906054279749478,25.0
7,0.9892996108949417,25.0
8,0.9897330595482546,25.0
9,0.9861248761149654,25.0
0,0.996938775510204,30.0
1,0.9973568281938326,30.0
2,0.9922480620155039,30.0
3,0.9920792079207921,30.0
4,0.9928716904276986,30.0
5,0.9910313901345291,30.0
6,0.9906054279749478,30.0
7,0.9892996108949417,30.0
8,0.9897330595482546,30.0
9,0.9861248761149654,30.0
0,0.996938775510204,59.0
1,0.9973568281938326,59.0
2,0.9922480620155039,59.0
3,0.9920792079207921,59.0
4,0.9928716904276986,59.0
5,0.9910313901345291,59.0
6,0.9906054279749478,59.0
7,0.9892996108949417,59.0
8,0.9897330595482546,59.0
9,0.9861248761149654,59.0
0,0.996938775510204,58.0
1,0.9973568281938326,58.0
2,0.9922480620155039,58.0
3,0.9920792079207921,58.0
4,0.9928716904276986,58.0
5,0.9910313901345291,58.0
6,0.9906054279749478,58.0
7,0.9892996108949417,58.0
8,0.9897330595482546,58.0
9,0.9861248761149654,58.0
0,0.996938775510204,49.0
1,0.9973568281938326,49.0
2,0.9922480620155039,49.0
3,0.9920792079207921,49.0
4,0.9928716904276986,49.0
5,0.9910313901345291,49.0
6,0.9906054279749478,49.0
7,0.9892996108949417,49.0
8,0.9897330595482546,49.0
9,0.9861248761149654,49.0
0,0.996938775510204,52.0
1,0.9973568281938326,52.0
2,0.9922480620155039,52.0
3,0.9920792079207921,52.0
4,0.9928716904276986,52.0
5,0.9910313901345291,52.0
6,0.9906054279749478,52.0
7,0.9892996108949417,52.0
8,0.9897330595482546,52.0
9,0.9861248761149654,52.0
0,0.996938775510204,41.0
1,0.9973568281938326,41.0
2,0.9922480620155039,41.0
3,0.9920792079207921,41.0
4,0.9928716904276986,41.0
5,0.9910313901345291,41.0
6,0.9906054279749478,41.0
7,0.9892996108949417,41.0
8,0.9897330595482546,41.0
9,0.9861248761149654,41.0
0,0.996938775510204,42.0
1,0.9973568281938326,42.0
2,0.9922480620155039,42.0
3,0.9920792079207921,42.0
4,0.9928716904276986,42.0
5,0.9910313901345291,42.0
6,0.9906054279749478,42.0
7,0.9892996108949417,42.0
8,0.9897330595482546,42.0
9,0.9861248761149654,42.0
0,0.996938775510204,57.0
1,0.9973568281938326,57.0
2,0.9922480620155039,57.0
3,0.9920792079207921,57.0
4,0.9928716904276986,57.0
5,0.9910313901345291,57.0
6,0.9906054279749478,57.0
7,0.9892996108949417,57.0
