model_name,iteration,class_label,accuracy,step,batch_size
lenet5_batchNorm3,10,3,0.968503937007874,1,64
lenet5_batchNorm3,10,0,0.5568181818181818,1,64
lenet5_batchNorm3,10,7,0.4811320754716981,1,64
lenet5_batchNorm3,10,2,0.6097560975609756,1,64
lenet5_batchNorm3,10,8,0.3717948717948718,1,64
lenet5_batchNorm3,10,5,0.875,1,64
lenet5_batchNorm3,5,1,0.7295597484276729,1,64
lenet5_batchNorm3,5,0,0.5340909090909091,1,64
lenet5_batchNorm3,5,4,0.7916666666666666,1,64
lenet5_batchNorm3,5,6,0.22826086956521738,1,64
lenet5_batchNorm3,5,3,0.968503937007874,1,64
lenet5_batchNorm3,5,2,0.6524390243902439,1,64
lenet5_batchNorm3,5,7,0.4716981132075472,1,64
lenet5_batchNorm3,5,8,0.3717948717948718,1,64
lenet5_batchNorm3,5,5,0.875,1,64
lenet5_batchNorm3,5,9,0.10843373493975904,1,64
lenet5_batchNorm3,16,5,0.875,1,64
lenet5_batchNorm3,16,7,0.49056603773584906,1,64
lenet5_batchNorm3,16,3,0.968503937007874,1,64
lenet5_batchNorm3,16,2,0.6280487804878049,1,64
lenet5_batchNorm3,16,0,0.5568181818181818,1,64
lenet5_batchNorm3,16,1,0.7327044025157232,1,64
lenet5_batchNorm3,16,8,0.358974358974359,1,64
lenet5_batchNorm3,16,4,0.8083333333333333,1,64
lenet5_batchNorm3,16,6,0.22826086956521738,1,64
lenet5_batchNorm3,16,9,0.10843373493975904,1,64
lenet5_batchNorm3,1,7,0.4716981132075472,1,64
lenet5_batchNorm3,1,2,0.6158536585365854,1,64
lenet5_batchNorm3,1,3,0.968503937007874,1,64
lenet5_batchNorm3,1,1,0.7264150943396226,1,64
lenet5_batchNorm3,1,5,0.875,1,64
lenet5_batchNorm3,1,4,0.7916666666666666,1,64
lenet5_batchNorm3,1,9,0.12048192771084337,1,64
lenet5_batchNorm3,1,8,0.3333333333333333,1,64
lenet5_batchNorm3,1,0,0.5568181818181818,1,64
lenet5_batchNorm3,1,6,0.22826086956521738,1,64
lenet5_batchNorm3,6,5,0.8660714285714286,1,64
lenet5_batchNorm3,6,3,0.9763779527559056,1,64
lenet5_batchNorm3,6,2,0.6402439024390244,1,64
lenet5_batchNorm3,6,7,0.49056603773584906,1,64
lenet5_batchNorm3,6,9,0.10843373493975904,1,64
lenet5_batchNorm3,6,1,0.7295597484276729,1,64
lenet5_batchNorm3,6,4,0.8,1,64
lenet5_batchNorm3,6,8,0.358974358974359,1,64
lenet5_batchNorm3,6,0,0.5795454545454546,1,64
lenet5_batchNorm3,6,6,0.22826086956521738,1,64
lenet5_batchNorm3,18,7,0.49056603773584906,1,64
lenet5_batchNorm3,18,1,0.7358490566037735,1,64
lenet5_batchNorm3,18,5,0.875,1,64
lenet5_batchNorm3,18,9,0.0963855421686747,1,64
lenet5_batchNorm3,18,3,0.968503937007874,1,64
lenet5_batchNorm3,18,0,0.5568181818181818,1,64
lenet5_batchNorm3,18,4,0.7916666666666666,1,64
lenet5_batchNorm3,18,2,0.6402439024390244,1,64
lenet5_batchNorm3,18,8,0.358974358974359,1,64
lenet5_batchNorm3,18,6,0.21739130434782608,1,64
lenet5_batchNorm3,9,1,0.7421383647798742,1,64
lenet5_batchNorm3,9,0,0.5795454545454546,1,64
lenet5_batchNorm3,9,5,0.875,1,64
lenet5_batchNorm3,9,8,0.3717948717948718,1,64
lenet5_batchNorm3,9,7,0.4811320754716981,1,64
lenet5_batchNorm3,9,4,0.8083333333333333,1,64
lenet5_batchNorm3,9,3,0.9763779527559056,1,64
lenet5_batchNorm3,9,2,0.6341463414634146,1,64
lenet5_batchNorm3,9,9,0.12048192771084337,1,64
lenet5_batchNorm3,9,6,0.22826086956521738,1,64
lenet5_batchNorm3,2,3,0.9606299212598425,1,64
lenet5_batchNorm3,2,7,0.49056603773584906,1,64
lenet5_batchNorm3,2,2,0.6097560975609756,1,64
lenet5_batchNorm3,2,1,0.7295597484276729,1,64
lenet5_batchNorm3,2,4,0.8,1,64
lenet5_batchNorm3,2,5,0.875,1,64
lenet5_batchNorm3,2,8,0.3717948717948718,1,64
lenet5_batchNorm3,2,6,0.1956521739130435,1,64
lenet5_batchNorm3,2,0,0.5568181818181818,1,64
lenet5_batchNorm3,2,9,0.10843373493975904,1,64
lenet5_batchNorm3,17,2,0.6097560975609756,1,64
lenet5_batchNorm3,17,1,0.7264150943396226,1,64
lenet5_batchNorm3,17,8,0.38461538461538464,1,64
lenet5_batchNorm3,17,4,0.8,1,64
lenet5_batchNorm3,17,5,0.875,1,64
lenet5_batchNorm3,17,7,0.4716981132075472,1,64
lenet5_batchNorm3,19,5,0.875,1,64
lenet5_batchNorm3,17,3,0.968503937007874,1,64
lenet5_batchNorm3,19,8,0.358974358974359,1,64
lenet5_batchNorm3,17,0,0.5568181818181818,1,64
lenet5_batchNorm3,19,1,0.7295597484276729,1,64
lenet5_batchNorm3,17,6,0.22826086956521738,1,64
lenet5_batchNorm3,19,4,0.8,1,64
lenet5_batchNorm3,17,9,0.10843373493975904,1,64
lenet5_batchNorm3,19,7,0.4716981132075472,1,64
lenet5_batchNorm3,19,3,0.968503937007874,1,64
lenet5_batchNorm3,19,2,0.6219512195121951,1,64
lenet5_batchNorm3,19,0,0.5454545454545454,1,64
lenet5_batchNorm3,19,6,0.22826086956521738,1,64
lenet5_batchNorm3,19,9,0.10843373493975904,1,64
lenet5_batchNorm3,3,4,0.8,1,64
lenet5_batchNorm3,3,7,0.4716981132075472,1,64
lenet5_batchNorm3,3,0,0.5568181818181818,1,64
lenet5_batchNorm3,3,3,0.9763779527559056,1,64
lenet5_batchNorm3,3,1,0.7484276729559748,1,64
lenet5_batchNorm3,3,5,0.8660714285714286,1,64
lenet5_batchNorm3,3,2,0.6341463414634146,1,64
lenet5_batchNorm3,3,8,0.358974358974359,1,64
lenet5_batchNorm3,3,9,0.12048192771084337,1,64
lenet5_batchNorm3,3,6,0.22826086956521738,1,64
lenet5_batchNorm3,14,1,0.7327044025157232,1,64
