model_name,iteration,class_label,accuracy,dset_size
lenet5_batchNorm5,5,8,0.9907597535934292,0.1
lenet5_batchNorm5,15,7,0.9883268482490273,0.1
lenet5_batchNorm5,15,2,0.9922480620155039,0.1
lenet5_batchNorm5,15,1,0.9938325991189427,0.1
lenet5_batchNorm5,15,0,0.9928571428571429,0.1
lenet5_batchNorm5,15,4,0.9908350305498982,0.1
lenet5_batchNorm5,15,9,0.9801783944499505,0.1
lenet5_batchNorm5,15,5,0.9887892376681614,0.1
lenet5_batchNorm5,15,6,0.9874739039665971,0.1
lenet5_batchNorm5,15,3,0.9900990099009901,0.1
lenet5_batchNorm5,15,8,0.9907597535934292,0.1
lenet5_batchNorm5,2,7,0.9883268482490273,0.1
lenet5_batchNorm5,2,2,0.9922480620155039,0.1
lenet5_batchNorm5,2,1,0.9938325991189427,0.1
lenet5_batchNorm5,2,0,0.9928571428571429,0.1
lenet5_batchNorm5,2,4,0.9908350305498982,0.1
lenet5_batchNorm5,2,9,0.9801783944499505,0.1
lenet5_batchNorm5,2,5,0.9887892376681614,0.1
lenet5_batchNorm5,2,6,0.9874739039665971,0.1
lenet5_batchNorm5,2,3,0.9900990099009901,0.1
lenet5_batchNorm5,2,8,0.9907597535934292,0.1
lenet5_batchNorm5,16,7,0.9883268482490273,0.1
lenet5_batchNorm5,16,2,0.9922480620155039,0.1
lenet5_batchNorm5,16,1,0.9938325991189427,0.1
lenet5_batchNorm5,16,0,0.9928571428571429,0.1
lenet5_batchNorm5,16,4,0.9908350305498982,0.1
lenet5_batchNorm5,16,9,0.9801783944499505,0.1
lenet5_batchNorm5,16,5,0.9887892376681614,0.1
lenet5_batchNorm5,16,6,0.9874739039665971,0.1
lenet5_batchNorm5,16,3,0.9900990099009901,0.1
lenet5_batchNorm5,16,8,0.9907597535934292,0.1
lenet5_batchNorm5,19,7,0.9883268482490273,0.1
lenet5_batchNorm5,19,2,0.9922480620155039,0.1
lenet5_batchNorm5,19,1,0.9938325991189427,0.1
lenet5_batchNorm5,19,0,0.9928571428571429,0.1
lenet5_batchNorm5,19,4,0.9908350305498982,0.1
lenet5_batchNorm5,19,9,0.9801783944499505,0.1
lenet5_batchNorm5,19,5,0.9887892376681614,0.1
lenet5_batchNorm5,19,6,0.9874739039665971,0.1
lenet5_batchNorm5,19,3,0.9900990099009901,0.1
lenet5_batchNorm5,19,8,0.9907597535934292,0.1
lenet5_batchNorm5,20,7,0.9883268482490273,0.1
lenet5_batchNorm5,20,2,0.9922480620155039,0.1
lenet5_batchNorm5,20,1,0.9938325991189427,0.1
lenet5_batchNorm5,20,0,0.9928571428571429,0.1
lenet5_batchNorm5,20,4,0.9908350305498982,0.1
lenet5_batchNorm5,20,9,0.9801783944499505,0.1
lenet5_batchNorm5,20,5,0.9887892376681614,0.1
lenet5_batchNorm5,20,6,0.9874739039665971,0.1
lenet5_batchNorm5,20,3,0.9900990099009901,0.1
lenet5_batchNorm5,20,8,0.9907597535934292,0.1
lenet5_batchNorm5,8,7,0.9883268482490273,0.1
lenet5_batchNorm5,8,2,0.9922480620155039,0.1
lenet5_batchNorm5,8,1,0.9938325991189427,0.1
lenet5_batchNorm5,8,0,0.9928571428571429,0.1
lenet5_batchNorm5,8,4,0.9908350305498982,0.1
lenet5_batchNorm5,8,9,0.9801783944499505,0.1
lenet5_batchNorm5,8,5,0.9887892376681614,0.1
lenet5_batchNorm5,8,6,0.9874739039665971,0.1
lenet5_batchNorm5,8,3,0.9900990099009901,0.1
lenet5_batchNorm5,8,8,0.9907597535934292,0.1
lenet5_batchNorm5,6,7,0.9883268482490273,0.1
lenet5_batchNorm5,6,2,0.9922480620155039,0.1
lenet5_batchNorm5,6,1,0.9938325991189427,0.1
lenet5_batchNorm5,6,0,0.9928571428571429,0.1
lenet5_batchNorm5,6,4,0.9908350305498982,0.1
lenet5_batchNorm5,6,9,0.9801783944499505,0.1
lenet5_batchNorm5,6,5,0.9887892376681614,0.1
lenet5_batchNorm5,6,6,0.9874739039665971,0.1
lenet5_batchNorm5,6,3,0.9900990099009901,0.1
lenet5_batchNorm5,6,8,0.9907597535934292,0.1
lenet5_batchNorm5,12,7,0.9883268482490273,0.1
lenet5_batchNorm5,12,2,0.9922480620155039,0.1
lenet5_batchNorm5,12,1,0.9938325991189427,0.1
lenet5_batchNorm5,12,0,0.9928571428571429,0.1
lenet5_batchNorm5,12,4,0.9908350305498982,0.1
