iteration,accuracy_before,accuracy_after,dset_size
6.0,0.6611650485436893,0.6466019417475728,0.8
5.0,0.6466019417475728,0.6349514563106796,0.8
3.0,0.6699029126213593,0.6718446601941748,0.8
2.0,0.6009708737864078,0.6116504854368932,0.8
1.0,0.5990291262135923,0.6038834951456311,0.8
4.0,0.5912621359223301,0.6067961165048543,0.8
5.0,0.5990291262135923,0.612621359223301,0.8
9.0,0.5922330097087378,0.625242718446602,0.8
7.0,0.570873786407767,0.6135922330097088,0.8
3.0,0.587378640776699,0.6213592233009708,0.8
8.0,0.6019417475728155,0.6174757281553398,0.8
6.0,0.5893203883495146,0.6145631067961165,0.8
10.0,0.5912621359223301,0.6145631067961165,0.8
1.0,0.6009708737864078,0.5990291262135923,0.8
2.0,0.6067961165048543,0.6019417475728155,0.8
5.0,0.616504854368932,0.6087378640776699,0.8
4.0,0.6019417475728155,0.5941747572815534,0.8
10.0,0.6145631067961165,0.6106796116504855,0.8
9.0,0.6058252427184466,0.6116504854368932,0.8
3.0,0.6077669902912621,0.6174757281553398,0.8
7.0,0.6077669902912621,0.6067961165048543,0.8
8.0,0.6116504854368932,0.6106796116504855,0.8
6.0,0.6155339805825243,0.6087378640776699,0.8
1.0,0.596116504854369,0.6048543689320388,0.8
2.0,0.5970873786407767,0.6077669902912621,0.8
4.0,0.5951456310679611,0.6019417475728155,0.8
3.0,0.6213592233009708,0.6378640776699029,0.8
9.0,0.6213592233009708,0.6359223300970874,0.8
7.0,0.6135922330097088,0.6300970873786408,0.8
10.0,0.6048543689320388,0.612621359223301,0.8
8.0,0.6174757281553398,0.629126213592233,0.8
6.0,0.6029126213592233,0.612621359223301,0.8
5.0,0.6029126213592233,0.616504854368932,0.8
1.0,0.6262135922330098,0.6135922330097088,0.8
2.0,0.6330097087378641,0.6174757281553398,0.8
3.0,0.6805825242718446,0.658252427184466,0.8
9.0,0.6689320388349514,0.6631067961165048,0.8
4.0,0.625242718446602,0.6048543689320388,0.8
7.0,0.6737864077669903,0.6504854368932039,0.8
10.0,0.6475728155339806,0.6349514563106796,0.8
8.0,0.6640776699029126,0.6504854368932039,0.8
5.0,0.6485436893203883,0.6330097087378641,0.8
6.0,0.6524271844660194,0.6398058252427185,0.8
1.0,0.5980582524271845,0.6048543689320388,0.8
2.0,0.5990291262135923,0.6048543689320388,0.8
3.0,0.6077669902912621,0.6203883495145631,0.8
9.0,0.6145631067961165,0.6339805825242718,0.8
4.0,0.5844660194174758,0.5970873786407767,0.8
10.0,0.6106796116504855,0.6155339805825243,0.8
7.0,0.6203883495145631,0.629126213592233,0.8
8.0,0.6116504854368932,0.625242718446602,0.8
6.0,0.612621359223301,0.6203883495145631,0.8
5.0,0.5990291262135923,0.6194174757281553,0.8
1.0,0.6048543689320388,0.6,0.8
2.0,0.6048543689320388,0.6048543689320388,0.8
3.0,0.6495145631067961,0.6339805825242718,0.8
4.0,0.6038834951456311,0.5970873786407767,0.8
9.0,0.6640776699029126,0.6524271844660194,0.8
8.0,0.6660194174757281,0.6475728155339806,0.8
10.0,0.6233009708737864,0.6155339805825243,0.8
7.0,0.6611650485436893,0.6368932038834951,0.8
6.0,0.6446601941747573,0.6242718446601941,0.8
5.0,0.6242718446601941,0.6155339805825243,0.8
1.0,0.5922330097087378,0.5912621359223301,0.8
2.0,0.5951456310679611,0.5970873786407767,0.8
3.0,0.6087378640776699,0.6213592233009708,0.8
4.0,0.5912621359223301,0.5902912621359223,0.8
9.0,0.6223300970873786,0.6330097087378641,0.8
8.0,0.6029126213592233,0.6223300970873786,0.8
7.0,0.6097087378640776,0.612621359223301,0.8
10.0,0.6,0.6087378640776699,0.8
6.0,0.5932038834951456,0.6135922330097088,0.8
5.0,0.6087378640776699,0.6145631067961165,0.8
1.0,0.5990291262135923,0.5951456310679611,0.8
2.0,0.6019417475728155,0.5980582524271845,0.8
3.0,0.6135922330097088,0.6174757281553398,0.8
9.0,0.6378640776699029,0.6359223300970874,0.8
4.0,0.5970873786407767,0.5922330097087378,0.8
7.0,0.5941747572815534,0.6155339805825243,0.8
8.0,0.6184466019417476,0.6174757281553398,0.8
10.0,0.6048543689320388,0.6029126213592233,0.8
6.0,0.6077669902912621,0.6135922330097088,0.8
5.0,0.6155339805825243,0.616504854368932,0.8
2.0,0.6145631067961165,0.6077669902912621,0.8
1.0,0.6116504854368932,0.6048543689320388,0.8
3.0,0.6242718446601941,0.6155339805825243,0.8
4.0,0.6116504854368932,0.6,0.8
9.0,0.6213592233009708,0.6242718446601941,0.8
6.0,0.6194174757281553,0.6145631067961165,0.8
8.0,0.6398058252427185,0.629126213592233,0.8
7.0,0.616504854368932,0.6106796116504855,0.8
10.0,0.616504854368932,0.6097087378640776,0.8
5.0,0.6339805825242718,0.6300970873786408,0.8
1.0,0.5990291262135923,0.6,0.8
2.0,0.6038834951456311,0.6019417475728155,0.8
3.0,0.6223300970873786,0.625242718446602,0.8
9.0,0.6446601941747573,0.6514563106796116,0.8
4.0,0.5980582524271845,0.5970873786407767,0.8
7.0,0.6174757281553398,0.6145631067961165,0.8
8.0,0.6485436893203883,0.6388349514563106,0.8
10.0,0.6116504854368932,0.6106796116504855,0.8
6.0,0.6223300970873786,0.625242718446602,0.8
5.0,0.6368932038834951,0.6359223300970874,0.8
1.0,0.5990291262135923,0.5980582524271845,0.8
2.0,0.6019417475728155,0.6029126213592233,0.8
