iteration,step_size,model_name,accuracy,batch_size
9,7,resnet32.pt,0.6055900621118012,16
5,7,resnet32.pt,0.5892857142857143,16
7,7,resnet32.pt,0.593167701863354,16
8,7,resnet32.pt,0.6312111801242236,16
6,7,resnet32.pt,0.6164596273291926,16
3,7,resnet32.pt,0.531055900621118,16
4,7,resnet32.pt,0.6234472049689441,16
10,7,resnet32.pt,0.5760869565217391,16
2,7,resnet32.pt,0.577639751552795,16
9,8,resnet32.pt,0.5722049689440993,16
7,8,resnet32.pt,0.6296583850931677,16
5,8,resnet32.pt,0.5791925465838509,16
3,8,resnet32.pt,0.59472049689441,16
8,8,resnet32.pt,0.6218944099378882,16
1,8,resnet32.pt,0.5799689440993789,16
6,8,resnet32.pt,0.6343167701863354,16
10,8,resnet32.pt,0.5124223602484472,16
4,8,resnet32.pt,0.6413043478260869,16
2,8,resnet32.pt,0.5854037267080745,16
9,9,resnet32.pt,0.6048136645962733,16
1,9,resnet32.pt,0.531832298136646,16
5,9,resnet32.pt,0.6436335403726708,16
7,9,resnet32.pt,0.5908385093167702,16
3,9,resnet32.pt,0.6304347826086957,16
8,9,resnet32.pt,0.6257763975155279,16
6,9,resnet32.pt,0.6506211180124224,16
10,9,resnet32.pt,0.5838509316770186,16
4,9,resnet32.pt,0.5652173913043478,16
2,9,resnet32.pt,0.6273291925465838,16
9,10,resnet32.pt,0.5908385093167702,16
5,10,resnet32.pt,0.6234472049689441,16
6,10,resnet32.pt,0.639751552795031,16
7,10,resnet32.pt,0.5970496894409938,16
1,10,resnet32.pt,0.6086956521739131,16
3,10,resnet32.pt,0.59472049689441,16
8,10,resnet32.pt,0.625,16
10,10,resnet32.pt,0.625,16
4,10,resnet32.pt,0.6211180124223602,16
9,2,resnet32.pt,0.6048136645962733,32
1,2,resnet32.pt,0.6048136645962733,32
5,2,resnet32.pt,0.609472049689441,32
8,2,resnet32.pt,0.6187888198757764,32
6,2,resnet32.pt,0.5962732919254659,32
7,2,resnet32.pt,0.6281055900621118,32
3,2,resnet32.pt,0.6203416149068323,32
10,2,resnet32.pt,0.6265527950310559,32
4,2,resnet32.pt,0.6032608695652174,32
2,10,resnet32.pt,0.5861801242236024,16
1,3,resnet32.pt,0.6312111801242236,32
9,3,resnet32.pt,0.6156832298136646,32
5,3,resnet32.pt,0.625,32
8,3,resnet32.pt,0.6141304347826086,32
