iteration,accuracy_before,accuracy_after,dset_size,interval_iter_tracker
10.0,0.671875,0.6171875,0.1,17
14.0,0.671875,0.625,0.1,17
8.0,0.671875,0.609375,0.1,17
2.0,0.671875,0.625,0.1,17
12.0,0.671875,0.625,0.1,17
16.0,0.671875,0.625,0.1,17
6.0,0.671875,0.625,0.1,17
4.0,0.6640625,0.6328125,0.1,17
20.0,0.671875,0.6328125,0.1,17
18.0,0.65625,0.6171875,0.1,18
14.0,0.6484375,0.625,0.1,18
10.0,0.65625,0.6015625,0.1,18
8.0,0.65625,0.625,0.1,18
2.0,0.65625,0.6171875,0.1,18
16.0,0.65625,0.625,0.1,18
12.0,0.65625,0.640625,0.1,18
6.0,0.65625,0.640625,0.1,18
4.0,0.65625,0.6328125,0.1,18
20.0,0.65625,0.625,0.1,18
14.0,0.640625,0.609375,0.1,19
18.0,0.640625,0.6328125,0.1,19
10.0,0.640625,0.6171875,0.1,19
8.0,0.640625,0.65625,0.1,19
12.0,0.6328125,0.6328125,0.1,19
2.0,0.640625,0.6015625,0.1,19
16.0,0.640625,0.625,0.1,19
6.0,0.6328125,0.6328125,0.1,19
4.0,0.640625,0.6328125,0.1,19
20.0,0.640625,0.6171875,0.1,19
14.0,0.640625,0.6328125,0.1,20
10.0,0.6328125,0.6171875,0.1,20
18.0,0.640625,0.6328125,0.1,20
8.0,0.6328125,0.6484375,0.1,20
2.0,0.640625,0.625,0.1,20
12.0,0.6484375,0.6328125,0.1,20
16.0,0.640625,0.6328125,0.1,20
6.0,0.640625,0.640625,0.1,20
4.0,0.6328125,0.640625,0.1,20
20.0,0.640625,0.640625,0.1,20
10.0,0.65625,0.609375,0.1,21
18.0,0.65625,0.6328125,0.1,21
14.0,0.65625,0.625,0.1,21
2.0,0.6484375,0.625,0.1,21
8.0,0.65625,0.6328125,0.1,21
12.0,0.65625,0.6328125,0.1,21
16.0,0.65625,0.6171875,0.1,21
6.0,0.6484375,0.65625,0.1,21
4.0,0.65625,0.6640625,0.1,21
20.0,0.6484375,0.625,0.1,21
14.0,0.65625,0.640625,0.1,22
10.0,0.65625,0.6328125,0.1,22
18.0,0.65625,0.640625,0.1,22
8.0,0.6640625,0.640625,0.1,22
2.0,0.65625,0.6328125,0.1,22
12.0,0.65625,0.6015625,0.1,22
16.0,0.65625,0.6328125,0.1,22
6.0,0.65625,0.640625,0.1,22
4.0,0.6640625,0.65625,0.1,22
20.0,0.65625,0.640625,0.1,22
10.0,0.6484375,0.6015625,0.1,23
14.0,0.65625,0.6015625,0.1,23
18.0,0.65625,0.6171875,0.1,23
2.0,0.65625,0.609375,0.1,23
8.0,0.65625,0.609375,0.1,23
16.0,0.65625,0.6171875,0.1,23
12.0,0.65625,0.640625,0.1,23
6.0,0.65625,0.6171875,0.1,23
4.0,0.65625,0.640625,0.1,23
20.0,0.65625,0.6171875,0.1,23
10.0,0.6484375,0.625,0.1,24
14.0,0.6640625,0.609375,0.1,24
18.0,0.65625,0.6328125,0.1,24
8.0,0.6484375,0.6484375,0.1,24
2.0,0.65625,0.6171875,0.1,24
16.0,0.6640625,0.6328125,0.1,24
6.0,0.65625,0.625,0.1,24
12.0,0.65625,0.640625,0.1,24
20.0,0.65625,0.6328125,0.1,24
4.0,0.640625,0.65625,0.1,24
10.0,0.6640625,0.625,0.1,25
14.0,0.6640625,0.6171875,0.1,25
8.0,0.6484375,0.65625,0.1,25
18.0,0.6640625,0.625,0.1,25
2.0,0.65625,0.6171875,0.1,25
16.0,0.65625,0.6484375,0.1,25
6.0,0.6640625,0.625,0.1,25
12.0,0.65625,0.640625,0.1,25
20.0,0.6484375,0.6328125,0.1,25
4.0,0.6484375,0.65625,0.1,25
10.0,0.671875,0.640625,0.1,26
8.0,0.671875,0.6484375,0.1,26
14.0,0.6640625,0.6171875,0.1,26
18.0,0.671875,0.65625,0.1,26
6.0,0.6640625,0.625,0.1,26
2.0,0.671875,0.6484375,0.1,26
16.0,0.6640625,0.640625,0.1,26
12.0,0.6640625,0.640625,0.1,26
4.0,0.671875,0.65625,0.1,26
20.0,0.671875,0.6328125,0.1,26
10.0,0.6640625,0.6484375,0.1,27
14.0,0.6875,0.6328125,0.1,27
8.0,0.671875,0.6171875,0.1,27
6.0,0.671875,0.6171875,0.1,27
18.0,0.6875,0.625,0.1,27
2.0,0.671875,0.625,0.1,27
16.0,0.6640625,0.6171875,0.1,27
12.0,0.671875,0.625,0.1,27
20.0,0.6796875,0.6328125,0.1,27
4.0,0.6875,0.6328125,0.1,27
10.0,0.671875,0.625,0.1,28
14.0,0.6796875,0.625,0.1,28
6.0,0.671875,0.625,0.1,28
8.0,0.6796875,0.6171875,0.1,28
18.0,0.6875,0.625,0.1,28
2.0,0.671875,0.625,0.1,28
12.0,0.671875,0.625,0.1,28
16.0,0.6640625,0.625,0.1,28
20.0,0.671875,0.625,0.1,28
4.0,0.671875,0.625,0.1,28
10.0,0.671875,0.6328125,0.1,29
14.0,0.671875,0.6328125,0.1,29
18.0,0.6796875,0.625,0.1,29
6.0,0.671875,0.6328125,0.1,29
8.0,0.671875,0.6328125,0.1,29
12.0,0.6796875,0.6171875,0.1,29
2.0,0.671875,0.6328125,0.1,29
16.0,0.671875,0.6328125,0.1,29
4.0,0.671875,0.6328125,0.1,29
20.0,0.6875,0.6328125,0.1,29
10.0,0.6875,0.640625,0.1,30
18.0,0.6796875,0.6328125,0.1,30
14.0,0.6796875,0.6328125,0.1,30
6.0,0.6875,0.640625,0.1,30
8.0,0.6796875,0.6328125,0.1,30
12.0,0.6796875,0.640625,0.1,30
16.0,0.6796875,0.640625,0.1,30
2.0,0.6796875,0.640625,0.1,30
20.0,0.6953125,0.640625,0.1,30
4.0,0.6796875,0.640625,0.1,30
21.0,0.2734375,0.046875,0.1,1
9.0,0.2734375,0.046875,0.1,1
15.0,0.2734375,0.046875,0.1,1
3.0,0.2734375,0.046875,0.1,1
24.0,0.2734375,0.046875,0.1,1
12.0,0.2734375,0.046875,0.1,1
30.0,0.2734375,0.046875,0.1,1
27.0,0.2734375,0.046875,0.1,1
6.0,0.2734375,0.046875,0.1,1
18.0,0.2734375,0.046875,0.1,1
21.0,0.2734375,0.3828125,0.1,2
24.0,0.2734375,0.3828125,0.1,2
15.0,0.2734375,0.3828125,0.1,2
3.0,0.2734375,0.3828125,0.1,2
12.0,0.2734375,0.3828125,0.1,2
27.0,0.2734375,0.3828125,0.1,2
9.0,0.2734375,0.3828125,0.1,2
6.0,0.2734375,0.3828125,0.1,2
18.0,0.2734375,0.3828125,0.1,2
30.0,0.2734375,0.3828125,0.1,2
18.0,0.328125,0.0625,0.1,3
3.0,0.328125,0.0625,0.1,3
24.0,0.328125,0.0625,0.1,3
6.0,0.328125,0.0625,0.1,3
12.0,0.328125,0.0625,0.1,3
15.0,0.328125,0.0625,0.1,3
27.0,0.328125,0.0625,0.1,3
21.0,0.328125,0.0625,0.1,3
9.0,0.328125,0.0625,0.1,3
30.0,0.328125,0.0625,0.1,3
24.0,0.3515625,0.4609375,0.1,4
18.0,0.3515625,0.4609375,0.1,4
3.0,0.3515625,0.4609375,0.1,4
12.0,0.3515625,0.4609375,0.1,4
6.0,0.359375,0.4609375,0.1,4
27.0,0.3515625,0.4609375,0.1,4
21.0,0.3515625,0.4609375,0.1,4
9.0,0.3515625,0.4609375,0.1,4
15.0,0.3515625,0.4609375,0.1,4
30.0,0.3515625,0.4609375,0.1,4
18.0,0.46875,0.4296875,0.1,5
24.0,0.46875,0.4296875,0.1,5
12.0,0.4609375,0.4296875,0.1,5
3.0,0.46875,0.4296875,0.1,5
21.0,0.46875,0.4296875,0.1,5
15.0,0.46875,0.4296875,0.1,5
9.0,0.46875,0.4296875,0.1,5
27.0,0.46875,0.4296875,0.1,5
6.0,0.4609375,0.4296875,0.1,5
30.0,0.4609375,0.4296875,0.1,5
12.0,0.5078125,0.46875,0.1,6
18.0,0.515625,0.4765625,0.1,6
3.0,0.5078125,0.4765625,0.1,6
15.0,0.5078125,0.4765625,0.1,6
9.0,0.515625,0.4765625,0.1,6
27.0,0.515625,0.4765625,0.1,6
6.0,0.515625,0.4609375,0.1,6
24.0,0.5078125,0.4765625,0.1,6
21.0,0.515625,0.4765625,0.1,6
30.0,0.5078125,0.4765625,0.1,6
9.0,0.5234375,0.046875,0.1,7
12.0,0.515625,0.046875,0.1,7
18.0,0.5234375,0.046875,0.1,7
3.0,0.5234375,0.046875,0.1,7
6.0,0.515625,0.046875,0.1,7
