model_name,iteration,accuracy
ensemble_model_11,86,0.9982
ensemble_model_13,91,0.9988
ensemble_model_13,97,0.9988
ensemble_model_12,98,0.9981
ensemble_model_12,85,0.9981
ensemble_model_12,96,0.9981
ensemble_model_13,83,0.9988
ensemble_model_12,87,0.9981
ensemble_model_13,89,0.9988
ensemble_model_13,92,0.9988
ensemble_model_13,90,0.9988
ensemble_model_13,82,0.9988
ensemble_model_14,81,0.9984
ensemble_model_12,84,0.9981
ensemble_model_13,88,0.9988
ensemble_model_14,99,0.9984
ensemble_model_14,93,0.9984
ensemble_model_12,94,0.9981
ensemble_model_13,100,0.9988
ensemble_model_14,97,0.9984
ensemble_model_14,95,0.9984
ensemble_model_12,86,0.9981
ensemble_model_14,91,0.9984
ensemble_model_14,89,0.9984
ensemble_model_13,98,0.9988
ensemble_model_13,85,0.9988
ensemble_model_13,96,0.9988
ensemble_model_14,83,0.9984
ensemble_model_14,82,0.9984
ensemble_model_14,90,0.9984
ensemble_model_13,87,0.9988
ensemble_model_14,92,0.9984
ensemble_model_14,88,0.9984
ensemble_model_14,100,0.9984
ensemble_model_13,94,0.9988
ensemble_model_13,84,0.9988
ensemble_model_13,86,0.9988
ensemble_model_14,98,0.9984
ensemble_model_14,96,0.9984
ensemble_model_14,85,0.9984
ensemble_model_14,87,0.9984
ensemble_model_14,94,0.9984
ensemble_model_14,84,0.9984
ensemble_model_14,86,0.9984
